,solar_cycle,date
46,Solar cycle 16,1927-06
47,Solar cycle 16,1927-07
48,Solar cycle 16,1927-08
49,Solar cycle 16,1927-09
50,Solar cycle 16,1927-10
51,Solar cycle 16,1927-11
52,Solar cycle 16,1927-12
53,Solar cycle 16,1928-01
54,Solar cycle 16,1928-02
55,Solar cycle 16,1928-03
56,Solar cycle 16,1928-04
0,Solar cycle 17,1933-09
1,Solar cycle 17,1933-10
2,Solar cycle 17,1933-11
3,Solar cycle 17,1933-12
4,Solar cycle 17,1934-01
5,Solar cycle 17,1934-02
6,Solar cycle 17,1934-03
7,Solar cycle 17,1934-04
8,Solar cycle 17,1934-05
9,Solar cycle 17,1934-06
10,Solar cycle 17,1934-07
11,Solar cycle 17,1934-08
12,Solar cycle 17,1934-09
13,Solar cycle 17,1934-10
14,Solar cycle 17,1934-11
15,Solar cycle 17,1934-12
16,Solar cycle 17,1935-01
17,Solar cycle 17,1935-02
18,Solar cycle 17,1935-03
19,Solar cycle 17,1935-04
20,Solar cycle 17,1935-05
21,Solar cycle 17,1935-06
22,Solar cycle 17,1935-07
23,Solar cycle 17,1935-08
24,Solar cycle 17,1935-09
25,Solar cycle 17,1935-10
26,Solar cycle 17,1935-11
27,Solar cycle 17,1935-12
28,Solar cycle 17,1936-01
29,Solar cycle 17,1936-02
30,Solar cycle 17,1936-03
31,Solar cycle 17,1936-04
32,Solar cycle 17,1936-05
33,Solar cycle 17,1936-06
34,Solar cycle 17,1936-07
35,Solar cycle 17,1936-08
36,Solar cycle 17,1936-09
37,Solar cycle 17,1936-10
38,Solar cycle 17,1936-11
39,Solar cycle 17,1936-12
40,Solar cycle 17,1937-01
41,Solar cycle 17,1937-02
42,Solar cycle 17,1937-03
43,Solar cycle 17,1937-04
0,Solar cycle 18,1944-02
1,Solar cycle 18,1944-03
2,Solar cycle 18,1944-04
3,Solar cycle 18,1944-05
4,Solar cycle 18,1944-06
5,Solar cycle 18,1944-07
6,Solar cycle 18,1944-08
7,Solar cycle 18,1944-09
8,Solar cycle 18,1944-10
9,Solar cycle 18,1944-11
10,Solar cycle 18,1944-12
11,Solar cycle 18,1945-01
12,Solar cycle 18,1945-02
13,Solar cycle 18,1945-03
14,Solar cycle 18,1945-04
15,Solar cycle 18,1945-05
16,Solar cycle 18,1945-06
17,Solar cycle 18,1945-07
18,Solar cycle 18,1945-08
19,Solar cycle 18,1945-09
20,Solar cycle 18,1945-10
21,Solar cycle 18,1945-11
22,Solar cycle 18,1945-12
23,Solar cycle 18,1946-01
24,Solar cycle 18,1946-02
25,Solar cycle 18,1946-03
26,Solar cycle 18,1946-04
27,Solar cycle 18,1946-05
28,Solar cycle 18,1946-06
29,Solar cycle 18,1946-07
30,Solar cycle 18,1946-08
31,Solar cycle 18,1946-09
32,Solar cycle 18,1946-10
33,Solar cycle 18,1946-11
34,Solar cycle 18,1946-12
35,Solar cycle 18,1947-01
36,Solar cycle 18,1947-02
37,Solar cycle 18,1947-03
38,Solar cycle 18,1947-04
39,Solar cycle 18,1947-05
0,Solar cycle 19,1954-04
1,Solar cycle 19,1954-05
2,Solar cycle 19,1954-06
3,Solar cycle 19,1954-07
4,Solar cycle 19,1954-08
5,Solar cycle 19,1954-09
6,Solar cycle 19,1954-10
7,Solar cycle 19,1954-11
8,Solar cycle 19,1954-12
9,Solar cycle 19,1955-01
10,Solar cycle 19,1955-02
11,Solar cycle 19,1955-03
12,Solar cycle 19,1955-04
13,Solar cycle 19,1955-05
14,Solar cycle 19,1955-06
15,Solar cycle 19,1955-07
16,Solar cycle 19,1955-08
17,Solar cycle 19,1955-09
18,Solar cycle 19,1955-10
19,Solar cycle 19,1955-11
20,Solar cycle 19,1955-12
21,Solar cycle 19,1956-01
22,Solar cycle 19,1956-02
23,Solar cycle 19,1956-03
24,Solar cycle 19,1956-04
25,Solar cycle 19,1956-05
26,Solar cycle 19,1956-06
27,Solar cycle 19,1956-07
28,Solar cycle 19,1956-08
29,Solar cycle 19,1956-09
30,Solar cycle 19,1956-10
31,Solar cycle 19,1956-11
32,Solar cycle 19,1956-12
33,Solar cycle 19,1957-01
34,Solar cycle 19,1957-02
35,Solar cycle 19,1957-03
36,Solar cycle 19,1957-04
37,Solar cycle 19,1957-05
38,Solar cycle 19,1957-06
39,Solar cycle 19,1957-07
40,Solar cycle 19,1957-08
41,Solar cycle 19,1957-09
42,Solar cycle 19,1957-10
43,Solar cycle 19,1957-11
44,Solar cycle 19,1957-12
45,Solar cycle 19,1958-01
46,Solar cycle 19,1958-02
47,Solar cycle 19,1958-03
0,Solar cycle 20,1964-10
1,Solar cycle 20,1964-11
2,Solar cycle 20,1964-12
3,Solar cycle 20,1965-01
4,Solar cycle 20,1965-02
5,Solar cycle 20,1965-03
6,Solar cycle 20,1965-04
7,Solar cycle 20,1965-05
8,Solar cycle 20,1965-06
9,Solar cycle 20,1965-07
10,Solar cycle 20,1965-08
11,Solar cycle 20,1965-09
12,Solar cycle 20,1965-10
13,Solar cycle 20,1965-11
14,Solar cycle 20,1965-12
15,Solar cycle 20,1966-01
16,Solar cycle 20,1966-02
17,Solar cycle 20,1966-03
18,Solar cycle 20,1966-04
19,Solar cycle 20,1966-05
20,Solar cycle 20,1966-06
21,Solar cycle 20,1966-07
22,Solar cycle 20,1966-08
23,Solar cycle 20,1966-09
24,Solar cycle 20,1966-10
25,Solar cycle 20,1966-11
26,Solar cycle 20,1966-12
27,Solar cycle 20,1967-01
28,Solar cycle 20,1967-02
29,Solar cycle 20,1967-03
30,Solar cycle 20,1967-04
31,Solar cycle 20,1967-05
32,Solar cycle 20,1967-06
33,Solar cycle 20,1967-07
34,Solar cycle 20,1967-08
35,Solar cycle 20,1967-09
36,Solar cycle 20,1967-10
37,Solar cycle 20,1967-11
38,Solar cycle 20,1967-12
39,Solar cycle 20,1968-01
40,Solar cycle 20,1968-02
41,Solar cycle 20,1968-03
42,Solar cycle 20,1968-04
43,Solar cycle 20,1968-05
44,Solar cycle 20,1968-06
45,Solar cycle 20,1968-07
46,Solar cycle 20,1968-08
47,Solar cycle 20,1968-09
48,Solar cycle 20,1968-10
49,Solar cycle 20,1968-11
0,Solar cycle 21,1976-03
1,Solar cycle 21,1976-04
2,Solar cycle 21,1976-05
3,Solar cycle 21,1976-06
4,Solar cycle 21,1976-07
5,Solar cycle 21,1976-08
6,Solar cycle 21,1976-09
7,Solar cycle 21,1976-10
8,Solar cycle 21,1976-11
9,Solar cycle 21,1976-12
10,Solar cycle 21,1977-01
11,Solar cycle 21,1977-02
12,Solar cycle 21,1977-03
13,Solar cycle 21,1977-04
14,Solar cycle 21,1977-05
15,Solar cycle 21,1977-06
16,Solar cycle 21,1977-07
17,Solar cycle 21,1977-08
18,Solar cycle 21,1977-09
19,Solar cycle 21,1977-10
20,Solar cycle 21,1977-11
21,Solar cycle 21,1977-12
22,Solar cycle 21,1978-01
23,Solar cycle 21,1978-02
24,Solar cycle 21,1978-03
25,Solar cycle 21,1978-04
26,Solar cycle 21,1978-05
27,Solar cycle 21,1978-06
28,Solar cycle 21,1978-07
29,Solar cycle 21,1978-08
30,Solar cycle 21,1978-09
31,Solar cycle 21,1978-10
32,Solar cycle 21,1978-11
33,Solar cycle 21,1978-12
34,Solar cycle 21,1979-01
35,Solar cycle 21,1979-02
36,Solar cycle 21,1979-03
37,Solar cycle 21,1979-04
38,Solar cycle 21,1979-05
39,Solar cycle 21,1979-06
40,Solar cycle 21,1979-07
41,Solar cycle 21,1979-08
42,Solar cycle 21,1979-09
43,Solar cycle 21,1979-10
44,Solar cycle 21,1979-11
45,Solar cycle 21,1979-12
0,Solar cycle 22,1986-09
1,Solar cycle 22,1986-10
2,Solar cycle 22,1986-11
3,Solar cycle 22,1986-12
4,Solar cycle 22,1987-01
5,Solar cycle 22,1987-02
6,Solar cycle 22,1987-03
7,Solar cycle 22,1987-04
8,Solar cycle 22,1987-05
9,Solar cycle 22,1987-06
10,Solar cycle 22,1987-07
11,Solar cycle 22,1987-08
12,Solar cycle 22,1987-09
13,Solar cycle 22,1987-10
14,Solar cycle 22,1987-11
15,Solar cycle 22,1987-12
16,Solar cycle 22,1988-01
17,Solar cycle 22,1988-02
18,Solar cycle 22,1988-03
19,Solar cycle 22,1988-04
20,Solar cycle 22,1988-05
21,Solar cycle 22,1988-06
22,Solar cycle 22,1988-07
23,Solar cycle 22,1988-08
24,Solar cycle 22,1988-09
25,Solar cycle 22,1988-10
26,Solar cycle 22,1988-11
27,Solar cycle 22,1988-12
28,Solar cycle 22,1989-01
29,Solar cycle 22,1989-02
30,Solar cycle 22,1989-03
31,Solar cycle 22,1989-04
32,Solar cycle 22,1989-05
33,Solar cycle 22,1989-06
34,Solar cycle 22,1989-07
35,Solar cycle 22,1989-08
36,Solar cycle 22,1989-09
37,Solar cycle 22,1989-10
38,Solar cycle 22,1989-11
0,Solar cycle 23,1996-08
1,Solar cycle 23,1996-09
2,Solar cycle 23,1996-10
3,Solar cycle 23,1996-11
4,Solar cycle 23,1996-12
5,Solar cycle 23,1997-01
6,Solar cycle 23,1997-02
7,Solar cycle 23,1997-03
8,Solar cycle 23,1997-04
9,Solar cycle 23,1997-05
10,Solar cycle 23,1997-06
11,Solar cycle 23,1997-07
12,Solar cycle 23,1997-08
13,Solar cycle 23,1997-09
14,Solar cycle 23,1997-10
15,Solar cycle 23,1997-11
16,Solar cycle 23,1997-12
17,Solar cycle 23,1998-01
18,Solar cycle 23,1998-02
19,Solar cycle 23,1998-03
20,Solar cycle 23,1998-04
21,Solar cycle 23,1998-05
22,Solar cycle 23,1998-06
23,Solar cycle 23,1998-07
24,Solar cycle 23,1998-08
25,Solar cycle 23,1998-09
26,Solar cycle 23,1998-10
27,Solar cycle 23,1998-11
28,Solar cycle 23,1998-12
29,Solar cycle 23,1999-01
30,Solar cycle 23,1999-02
31,Solar cycle 23,1999-03
32,Solar cycle 23,1999-04
33,Solar cycle 23,1999-05
34,Solar cycle 23,1999-06
35,Solar cycle 23,1999-07
36,Solar cycle 23,1999-08
37,Solar cycle 23,1999-09
38,Solar cycle 23,1999-10
39,Solar cycle 23,1999-11
40,Solar cycle 23,1999-12
41,Solar cycle 23,2000-01
42,Solar cycle 23,2000-02
43,Solar cycle 23,2000-03
44,Solar cycle 23,2000-04
45,Solar cycle 23,2000-05
46,Solar cycle 23,2000-06
47,Solar cycle 23,2000-07
48,Solar cycle 23,2000-08
49,Solar cycle 23,2000-09
50,Solar cycle 23,2000-10
51,Solar cycle 23,2000-11
52,Solar cycle 23,2000-12
53,Solar cycle 23,2001-01
54,Solar cycle 23,2001-02
55,Solar cycle 23,2001-03
56,Solar cycle 23,2001-04
57,Solar cycle 23,2001-05
58,Solar cycle 23,2001-06
59,Solar cycle 23,2001-07
60,Solar cycle 23,2001-08
61,Solar cycle 23,2001-09
62,Solar cycle 23,2001-10
63,Solar cycle 23,2001-11
0,Solar cycle 24,2008-12
1,Solar cycle 24,2009-01
2,Solar cycle 24,2009-02
3,Solar cycle 24,2009-03
4,Solar cycle 24,2009-04
5,Solar cycle 24,2009-05
6,Solar cycle 24,2009-06
7,Solar cycle 24,2009-07
8,Solar cycle 24,2009-08
9,Solar cycle 24,2009-09
10,Solar cycle 24,2009-10
11,Solar cycle 24,2009-11
12,Solar cycle 24,2009-12
13,Solar cycle 24,2010-01
14,Solar cycle 24,2010-02
15,Solar cycle 24,2010-03
16,Solar cycle 24,2010-04
17,Solar cycle 24,2010-05
18,Solar cycle 24,2010-06
19,Solar cycle 24,2010-07
20,Solar cycle 24,2010-08
21,Solar cycle 24,2010-09
22,Solar cycle 24,2010-10
23,Solar cycle 24,2010-11
24,Solar cycle 24,2010-12
25,Solar cycle 24,2011-01
26,Solar cycle 24,2011-02
27,Solar cycle 24,2011-03
28,Solar cycle 24,2011-04
29,Solar cycle 24,2011-05
30,Solar cycle 24,2011-06
31,Solar cycle 24,2011-07
32,Solar cycle 24,2011-08
33,Solar cycle 24,2011-09
34,Solar cycle 24,2011-10
35,Solar cycle 24,2011-11
36,Solar cycle 24,2011-12
37,Solar cycle 24,2012-01
38,Solar cycle 24,2012-02
39,Solar cycle 24,2012-03
40,Solar cycle 24,2012-04
41,Solar cycle 24,2012-05
42,Solar cycle 24,2012-06
43,Solar cycle 24,2012-07
44,Solar cycle 24,2012-08
45,Solar cycle 24,2012-09
46,Solar cycle 24,2012-10
47,Solar cycle 24,2012-11
48,Solar cycle 24,2012-12
49,Solar cycle 24,2013-01
50,Solar cycle 24,2013-02
51,Solar cycle 24,2013-03
52,Solar cycle 24,2013-04
53,Solar cycle 24,2013-05
54,Solar cycle 24,2013-06
55,Solar cycle 24,2013-07
56,Solar cycle 24,2013-08
57,Solar cycle 24,2013-09
58,Solar cycle 24,2013-10
59,Solar cycle 24,2013-11
60,Solar cycle 24,2013-12
61,Solar cycle 24,2014-01
62,Solar cycle 24,2014-02
63,Solar cycle 24,2014-03
64,Solar cycle 24,2014-04
